ip,date,time,zone,cik,accession,extention,code,size,idx,norefer,noagent,find,crawler,browser
167.219.0.jcf,2003-02-20,00:02:45,500.0,1059744.0,0001104659-02-001308,.txt,200.0,1506733.0,0.0,0.0,0.0,1.0,0.0,win
24.185.131.cac,2003-02-20,00:02:47,500.0,846909.0,0000927016-00-003604,-0007.txt,200.0,46857.0,0.0,0.0,0.0,9.0,0.0,win
162.27.9.fed,2003-02-20,00:02:51,500.0,789881.0,0001021408-03-003188,-index.htm,200.0,2661.0,1.0,0.0,0.0,2.0,0.0,win
212.76.10.iei,2003-02-20,00:02:51,500.0,1066719.0,0000889812-99-002098,-index.html,200.0,3023.0,1.0,0.0,0.0,1.0,0.0,win
61.115.76.jbf,2003-02-20,00:02:53,500.0,1207183.0,0001181431-03-002820,.txt,200.0,22621.0,0.0,1.0,0.0,0.0,0.0,
162.27.9.fed,2003-02-20,00:02:55,500.0,789881.0,0001021408-03-003188,d10q.txt,200.0,94221.0,0.0,0.0,0.0,9.0,0.0,win
61.193.164.chj,2003-02-20,00:02:57,500.0,815097.0,0000815097-03-000005,.txt,200.0,10269296.0,0.0,0.0,0.0,1.0,0.0,mie
216.190.168.jde,2003-02-20,00:03:07,500.0,49826.0,0000950137-02-001470,c67784e10-k405.htm,200.0,109636.0,0.0,0.0,0.0,9.0,0.0,win
129.188.33.ghe,2003-02-20,00:03:15,500.0,1029506.0,0001206774-02-000016,-index.htm,200.0,4061.0,1.0,0.0,0.0,1.0,0.0,win
61.115.76.jbf,2003-02-20,00:03:22,500.0,1125842.0,0001125842-03-000001,.txt,200.0,8550.0,0.0,1.0,0.0,0.0,0.0,
129.188.33.ghe,2003-02-20,00:03:24,500.0,1029506.0,0001206774-02-000016,d11593.htm,200.0,640810.0,0.0,0.0,0.0,9.0,0.0,win
216.89.152.ceb,2003-02-20,00:03:24,500.0,1111721.0,0001097241-02-000237,.txt,200.0,7977.0,0.0,1.0,0.0,0.0,0.0,
172.149.86.bfc,2003-02-20,00:03:26,500.0,1053374.0,0000891618-03-000240,-index.htm,200.0,7572.0,1.0,0.0,0.0,1.0,0.0,win
207.242.102.cih,2003-02-20,00:03:27,500.0,923282.0,0000898430-02-004209,-index.htm,304.0,,1.0,0.0,0.0,1.0,0.0,win
66.108.223.jdj,2003-02-20,00:03:27,500.0,1004990.0,0000950117-03-000698,-index.htm,200.0,193148.0,1.0,0.0,0.0,1.0,0.0,mie
66.108.223.jdj,2003-02-20,00:03:30,500.0,1004990.0,0000950117-03-000698,ex4-1.txt,200.0,186981.0,0.0,0.0,0.0,9.0,0.0,mie
61.115.76.jbf,2003-02-20,00:03:32,500.0,1091418.0,0001214782-03-000020,.txt,200.0,88482.0,0.0,1.0,0.0,0.0,0.0,
66.108.223.jdj,2003-02-20,00:03:32,500.0,1004990.0,0000950117-03-000698,-index.htm,200.0,193148.0,1.0,0.0,0.0,1.0,0.0,mie
61.115.76.jbf,2003-02-20,00:03:34,500.0,1083107.0,0001083107-03-000008,.txt,200.0,14594.0,0.0,1.0,0.0,0.0,0.0,
61.115.76.jbf,2003-02-20,00:03:35,500.0,10427.0,0000010427-03-000057,.txt,200.0,6942.0,0.0,1.0,0.0,0.0,0.0,
61.115.76.jbf,2003-02-20,00:03:38,500.0,1138388.0,0001181431-03-002859,.txt,200.0,17108.0,0.0,1.0,0.0,0.0,0.0,
207.242.102.cih,2003-02-20,00:03:48,500.0,923282.0,0000898430-02-004222,-index.htm,200.0,2592.0,1.0,0.0,0.0,1.0,0.0,win
67.112.196.ech,2003-02-20,00:03:51,500.0,1046327.0,0000891020-03-000066,v86865exv23w2.txt,200.0,443.0,0.0,0.0,0.0,9.0,0.0,win
61.115.76.jbf,2003-02-20,00:03:53,500.0,863436.0,0001104659-03-002610,.txt,200.0,87603.0,0.0,1.0,0.0,0.0,0.0,
169.237.100.hdj,2003-02-20,00:03:54,500.0,790070.0,0000912057-02-025593,-index.htm,200.0,2256.0,1.0,0.0,0.0,1.0,0.0,win
61.115.76.jbf,2003-02-20,00:03:58,500.0,1140753.0,0000943663-03-000111,.txt,200.0,48650.0,0.0,1.0,0.0,0.0,0.0,
169.237.100.hdj,2003-02-20,00:03:59,500.0,790070.0,0000912057-02-025593,a2082977z11-k.htm,200.0,88986.0,0.0,0.0,0.0,9.0,0.0,win
24.43.108.bjh,2003-02-20,00:04:00,500.0,1172813.0,0001139020-03-000019,.txt,200.0,200957.0,0.0,1.0,0.0,0.0,0.0,mie
67.112.196.ech,2003-02-20,00:04:00,500.0,1046327.0,0000891020-03-000066,v86865sv8.htm,200.0,38661.0,0.0,0.0,0.0,9.0,0.0,win
207.242.102.cih,2003-02-20,00:04:02,500.0,923282.0,0000898430-02-004222,d10q.txt,200.0,349768.0,0.0,0.0,0.0,9.0,0.0,win
61.115.76.jbf,2003-02-20,00:04:02,500.0,11788.0,0000893838-03-000056,.txt,200.0,3624.0,0.0,1.0,0.0,0.0,0.0,
205.134.0.iei,2003-02-20,00:04:07,500.0,1000298.0,0001169232-02-003270,-index.htm,200.0,2310.0,1.0,0.0,0.0,1.0,0.0,mie
205.134.0.iei,2003-02-20,00:04:10,500.0,1000298.0,0001169232-02-003270,d52831_8-k.txt,200.0,7492.0,0.0,0.0,0.0,9.0,0.0,mie
169.237.100.hdj,2003-02-20,00:04:11,500.0,790070.0,0000912057-02-025593,a2082977zex-23_1.htm,200.0,1740.0,0.0,0.0,0.0,9.0,0.0,win
67.112.196.ech,2003-02-20,00:04:15,500.0,1046327.0,0000891020-03-000066,v86865exv5w1.txt,304.0,,0.0,0.0,0.0,9.0,0.0,win
169.237.100.hdj,2003-02-20,00:04:24,500.0,790070.0,0000927016-02-001573,-index.htm,200.0,2609.0,1.0,0.0,0.0,1.0,0.0,win
61.115.76.jbf,2003-02-20,00:04:34,500.0,1056539.0,0001005444-03-000026,.txt,200.0,11682.0,0.0,1.0,0.0,0.0,0.0,
169.237.100.hdj,2003-02-20,00:04:38,500.0,790070.0,0000927016-02-001573,d10k405.htm,200.0,1170047.0,0.0,0.0,0.0,9.0,0.0,win
203.96.111.cci,2003-02-20,00:04:41,500.0,1210959.0,0001156973-02-001092,u45645exv3w1.txt,200.0,1007.0,0.0,1.0,0.0,0.0,0.0,mie
172.149.86.bfc,2003-02-20,00:04:48,500.0,1053374.0,0000891618-03-000240,f86991orsv1.htm,200.0,1095232.0,0.0,0.0,0.0,9.0,0.0,win
24.43.108.bjh,2003-02-20,00:04:49,500.0,1172813.0,0001139020-02-000213,.txt,200.0,53491.0,0.0,1.0,0.0,0.0,0.0,mie
152.13.178.dci,2003-02-20,00:04:52,500.0,884124.0,0000950168-02-003893,-index.htm,200.0,3081.0,1.0,0.0,0.0,4.0,0.0,mie
12.225.153.adj,2003-02-20,00:04:53,500.0,830260.0,0000891020-96-000653,.txt,200.0,1044689.0,0.0,0.0,0.0,4.0,0.0,mie
66.108.223.jdj,2003-02-20,00:04:55,500.0,883241.0,0000950109-03-000572,-index.htm,200.0,3090.0,1.0,0.0,0.0,1.0,0.0,mie
61.115.76.jbf,2003-02-20,00:05:00,500.0,1193959.0,0001193959-03-000003,.txt,200.0,8689.0,0.0,1.0,0.0,0.0,0.0,
61.115.76.jbf,2003-02-20,00:05:03,500.0,1012887.0,0001181431-03-002824,.txt,200.0,16211.0,0.0,1.0,0.0,0.0,0.0,
151.198.202.ihf,2003-02-20,00:05:16,500.0,1133806.0,0000891618-03-000673,-index.htm,200.0,2742.0,1.0,0.0,0.0,4.0,0.0,win
151.198.202.ihf,2003-02-20,00:05:21,500.0,1133806.0,0000891618-03-000673,f87467a1sc13gza.htm,200.0,25796.0,0.0,0.0,0.0,9.0,0.0,win
